"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"14329522";"7";"";"315749";"MESTRADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"12";"24";"24";"12";"24";"24";"24";"360";"360";"";"240";"0";"0";"0";"1";"12";"20";"0";"";"";"2";"2009";""
"113806565";"PGGIC1";"";"113140463";"MESTRADO PROFISSIONAL EM GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO";"12";"24";"24";"12";"24";"24";"16";"360";"240";"";"0";"120";"0";"0";"1";"16";"24";"0";"";"";"2";"2015";""
"122541685";"MPES2";"";"100181629";"MESTRADO PROFISSIONAL EM TECNOLOGIA DA INFORMAÇÃO";"12";"24";"24";"12";"24";"24";"24";"360";"240";"";"0";"120";"8";"0";"";"";"";"0";"";"";"1";"2017";""
"118438662";"EF-PROF";"";"117880399";"MESTRADO PROFISSIONAL EM EDUCAÇÃO FÍSICA EM REDE NACIONAL";"12";"24";"24";"12";"24";"24";"10";"420";"150";"";"0";"270";"0";"0";"";"";"";"0";"";"";"1";"2016";""
"109352112";"Mst2015";"";"315747";"MESTRADO EM ENFERMAGEM";"12";"24";"24";"12";"24";"24";"30";"450";"210";"";"0";"240";"16";"0";"1";"15";"20";"1";"";"";"1";"2015";""
"124712741";"MTUR-1";"";"507421";"MESTRADO EM TURISMO";"12";"24";"24";"12";"24";"24";"24";"360";"210";"";"0";"150";"10";"0";"";"";"";"0";"";"";"1";"2017";""
"101091481";"BPA1";"";"101050284";"MESTRADO EM BIOLOGIA PARASITÁRIA";"12";"24";"24";"12";"24";"24";"28";"420";"90";"";"0";"330";"22";"0";"2";"12";"24";"1";"";"";"2";"2013";""
"140029";"01";"";"315738";"DOUTORADO EM PSICOLOGIA SOCIAL";"24";"48";"60";"24";"48";"48";"20";"300";"0";"";"240";"300";"20";"0";"2";"40";"40";"1";"0";"";"1";"2003";""
"106053722";"dout14";"";"315740";"DOUTORADO EM QUÍMICA";"24";"48";"48";"24";"48";"48";"24";"360";"300";"";"0";"60";"4";"0";"1";"8";"12";"0";"";"";"2";"2014";""
"15403280";"01";"";"9300591";"DOUTORADO EM DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS";"24";"48";"48";"24";"48";"48";"36";"540";"90";"";"240";"450";"30";"0";"1";"12";"15";"0";"";"";"2";"2009";""
