,id_curriculo_componente,id_curriculo,id_componente_curricular
58965,133795123,133795010,61116
59038,136619424,133795010,70883
59253,133795115,133795010,61094
59609,133795184,133795010,55056
61393,133798929,133795010,69615
61509,139889701,133795010,72273
61904,133795210,133795010,66481
61948,133795159,133795010,52681
62163,133795129,133795010,61122
62336,133795179,133795010,52699
62460,133795099,133795010,61106
63181,133795174,133795010,52693
63908,133795023,133795010,26916
64093,133795128,133795010,61121
64169,133795020,133795010,68447
64320,133795154,133795010,52682
64623,134107142,133795010,66424
65001,133795119,133795010,61112
65236,133795214,133795010,65103
65470,139651487,133795010,72205
65707,133795108,133795010,61101
66281,133795111,133795010,61085
66326,133795059,133795010,2054953
66454,151040544,133795010,72711
66505,133795205,133795010,63937
66528,139889702,133795010,72274
66786,133795079,133795010,51457
67375,133798915,133795010,69601
68124,133795024,133795010,26917
68212,133795120,133795010,61113
68607,133795098,133795010,61105
68867,133798938,133795010,69624
69156,133795092,133795010,63935
69203,133795077,133795010,46256
69559,133795146,133795010,55047
69800,134107141,133795010,64879
70489,133795151,133795010,52792
70653,133795085,133795010,59733
70659,133795082,133795010,57806
71480,133795053,133795010,2054930
71634,133795089,133795010,59737
71729,136481476,133795010,68509
71863,133795100,133795010,61107
72182,133795088,133795010,59736
72409,133795124,133795010,61117
72718,133795029,133795010,26922
72799,133798921,133795010,69607
72829,133799387,133795010,69693
73124,133798934,133795010,69620
73260,133795202,133795010,61130
73566,133795142,133795010,55096
73569,133795181,133795010,52702
74045,139852687,133795010,72275
74223,133795041,133795010,2054957
74234,133798907,133795010,69592
74489,133795189,133795010,55084
74889,133795011,133795010,2041507
75100,133795034,133795010,23558
75233,133795130,133795010,52672
75253,133795135,133795010,55039
75877,133795216,133795010,55325
76015,133795217,133795010,23538
76253,133795144,133795010,55045
76528,137509079,133795010,70970
76614,133795204,133795010,63933
76719,133795049,133795010,2054925
76905,133795031,133795010,26924
77833,133795132,133795010,55036
77851,133795209,133795010,68478
78066,133795101,133795010,61108
78430,133795109,133795010,61083
78504,133795150,133795010,55051
79159,133795018,133795010,62381
79166,133795178,133795010,52698
79337,133798926,133795010,69612
79362,133795149,133795010,55050
79911,133798927,133795010,69613
79925,133795182,133795010,52996
