codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
IMD1108,VISÃO COMPUTACIONAL,30,30,60,DIM0141 ,,
IMD1130,BANCOS DE DADOS NOSQL,30,30,60,,,
IMD1151,CIÊNCIAS DE DADOS,30,30,60,IMD0905 ,,
IMD1152,COLETA E RASPAGEM DE DADOS,30,30,60,IMD1151 ,,
IMD1153,ANÁLISE VISUAL DE DADOS,30,30,60,,,
IMD1155,ANÁLISE DE REDES,30,30,60,,,
IMD1112,ÉTICA E DADOS,30,30,60,,,
IMD1113,PROBABILIDADE E INFERÊNCIA,30,30,60,IMD0033 ,,
IMD1114,APRENDIZADO PROFUNDO,30,30,60,,IMD1101 ,
IMD1115,PROCESSAMENTO DIGITAL DE IMAGENS,30,30,60,,IMD1101 ,
IMD1116,COMPUTAÇÃO DE ALTO DESEMPENHO,30,30,60,,,
IMD1117,ÁLGEBRA COMPUTACIONAL,30,30,60,,,
IMD1154,MODELAGEM ESTATÍSTICA DE DADOS,30,30,60,,IMD1113 ,
IMD1302,PROCESSO CRIATIVO,15,15,30,,,
IMD1303,ESTUDOS DE MERCADO,30,30,60,,,
IMD1304,BRANDING,30,30,60,,IMD1303 ,
IMD1306,GESTÃO DE PROJETOS E METODOLOGIAS ÁGEIS,30,30,60,,,
IMD1301,EMPREENDEDORISMO E FORMAÇÃO EMPREENDEDORA,30,30,60,( ( IMD0513 ) E ( ECT1553 ) ) ,,
IMD1307,LANÇAMENTO DE STARTUPS I,30,30,60,ECT2601 ,( ( IMD1301 ) E ( IMD1302 ) E ( IMD1303 ) ) ,
IMD1305,GESTÃO E INOVAÇÃO E ATRAÇÃO DE CAPITAL,30,0,30,,( ( IMD1301 ) E ( IMD1302 ) ) ,
IMD1308,LANÇAMENTO DE STARTUPS II,30,30,60,ECT2602 ,IMD1307 ,
IMD1309,TRANSFORMAÇÃO DIGITAL,40,20,60,,,
IMD1310,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO A,60,0,60,,,
IMD1311,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO B,60,0,60,,,
IMD1312,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO C,60,0,60,,,
IMD1313,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO D,60,0,60,,,
IMD1314,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO E,60,0,60,,,
IMD1315,TÓPICOS ESPECIAIS EM INOVAÇÃO E EMPREENDEDORISMO F,60,0,60,,,
ECT2610,CULTURA E ECOSSISTEMAS DE INOVAÇÃO,60,0,60,ECT1550 ,ECT2206 ,
ECT2611,PROPRIEDADE INTELECTUAL,30,0,30,,ECT2206 ,
ECT2612,NEGOCIAÇÃO TECNOLÓGICA,30,0,30,,ECT2206 ,
