id_curriculo,nome_matriz,nome_curso,semestre_conclusao_minimo,semestre_conclusao_ideal,semestre_conclusao_maximo,ch_total_minima,ch_obrigatoria,ch_optativa_minima,ch_complementar_minima,ch_eletiva_maxima,ch_semestre_minima,ch_semestre_maxima
134044403,DESENVOLVIMENTO DE SOFTWARE,BACHARELADO EM TECNOLOGIA DA INFORMAÇÃO,7,7,10,2600,2100,360,140,600,30,480
133804382,COMPUTAÇÃO,BACHARELADO EM TECNOLOGIA DA INFORMAÇÃO,7,7,10,2600,2160,300,140,600,30,480
