,id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta,tipo_vinculo_componente,nivel_ensino
5371,133804524,133804382,55083,0,OPTATIVO,GRADUAÇÃO
5416,134044635,134044403,55020,1,OBRIGATÓRIO,GRADUAÇÃO
5443,133798146,133797961,55062,0,OPTATIVO,GRADUAÇÃO
5458,133804588,133804382,55026,4,OBRIGATÓRIO,GRADUAÇÃO
5532,133795054,133795010,2054931,0,OPTATIVO,GRADUAÇÃO
5622,134044473,134044403,2054955,0,OPTATIVO,GRADUAÇÃO
5673,133795127,133795010,61120,0,OPTATIVO,GRADUAÇÃO
5679,134044539,134044403,55040,0,OPTATIVO,GRADUAÇÃO
5692,133804450,133804382,63935,0,OPTATIVO,GRADUAÇÃO
5730,133804551,133804382,66665,0,OPTATIVO,GRADUAÇÃO
5901,133795012,133795010,43193,0,OPTATIVO,GRADUAÇÃO
5944,133795143,133795010,55042,0,OPTATIVO,GRADUAÇÃO
6032,134044527,134044403,61114,0,OPTATIVO,GRADUAÇÃO
6058,133795131,133795010,52673,0,OPTATIVO,GRADUAÇÃO
6067,133798903,133795010,69589,0,OPTATIVO,GRADUAÇÃO
6114,133795086,133795010,59734,0,OPTATIVO,GRADUAÇÃO
6175,133798100,133797961,55050,0,OPTATIVO,GRADUAÇÃO
6266,133798183,133797961,55025,3,OBRIGATÓRIO,GRADUAÇÃO
6409,133797985,133797961,23558,0,OPTATIVO,GRADUAÇÃO
6507,133798911,133795010,69596,0,OPTATIVO,GRADUAÇÃO
6525,133804429,133804382,2054955,0,OPTATIVO,GRADUAÇÃO
6777,151036496,133797961,72713,0,OPTATIVO,GRADUAÇÃO
6868,134044542,134044403,55037,0,OPTATIVO,GRADUAÇÃO
6880,134044531,134044403,61118,0,OPTATIVO,GRADUAÇÃO
6944,151047041,133804382,69610,0,OPTATIVO,GRADUAÇÃO
7064,134044515,134044403,61083,0,OPTATIVO,GRADUAÇÃO
7207,133804572,133804382,55020,1,OBRIGATÓRIO,GRADUAÇÃO
7276,133795078,133795010,27733,0,OPTATIVO,GRADUAÇÃO
7363,134044466,134044403,2054931,0,OPTATIVO,GRADUAÇÃO
7397,133799091,133797961,69593,0,OPTATIVO,GRADUAÇÃO
7404,133795050,133795010,2054927,0,OPTATIVO,GRADUAÇÃO
7494,133798171,133797961,55019,1,OBRIGATÓRIO,GRADUAÇÃO
7511,133795232,133795010,55024,3,OBRIGATÓRIO,GRADUAÇÃO
7537,134044525,134044403,61112,0,OPTATIVO,GRADUAÇÃO
7808,134044634,134044403,55019,1,OBRIGATÓRIO,GRADUAÇÃO
7949,133804533,133804382,52699,0,OPTATIVO,GRADUAÇÃO
