,id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta,tipo_vinculo_componente,nivel_ensino
26051,134044469,134044403,2054951,0,OPTATIVO,GRADUAÇÃO
26176,133804574,133804382,66441,1,OBRIGATÓRIO,GRADUAÇÃO
26200,133795190,133795010,55085,0,OPTATIVO,GRADUAÇÃO
26219,133795208,133795010,65102,0,OPTATIVO,GRADUAÇÃO
26229,133804435,133804382,20033,0,OPTATIVO,GRADUAÇÃO
26342,133804393,133804382,26908,0,OPTATIVO,GRADUAÇÃO
26367,133797978,133797961,26920,0,OPTATIVO,GRADUAÇÃO
26391,133798072,133797961,61113,0,OPTATIVO,GRADUAÇÃO
26540,133795090,133795010,59738,0,OPTATIVO,GRADUAÇÃO
26545,133798095,133797961,55042,0,OPTATIVO,GRADUAÇÃO
26715,133798105,133797961,52682,0,OPTATIVO,GRADUAÇÃO
26741,134044553,134044403,55050,0,OPTATIVO,GRADUAÇÃO
26790,136619426,133795010,70885,0,OPTATIVO,GRADUAÇÃO
26929,134044509,134044403,61096,0,OPTATIVO,GRADUAÇÃO
27064,134044454,134044403,2054915,0,OPTATIVO,GRADUAÇÃO
27074,133804509,133804382,52683,0,OPTATIVO,GRADUAÇÃO
27077,134044492,134044403,59734,0,OPTATIVO,GRADUAÇÃO
27281,133795022,133795010,26915,0,OPTATIVO,GRADUAÇÃO
27330,133795095,133795010,61102,0,OPTATIVO,GRADUAÇÃO
27452,134044578,134044403,55021,2,OBRIGATÓRIO,GRADUAÇÃO
27510,133804603,133804382,66373,7,OBRIGATÓRIO,GRADUAÇÃO
27574,133795136,133795010,55037,0,OPTATIVO,GRADUAÇÃO
27593,133795160,133795010,52788,0,OPTATIVO,GRADUAÇÃO
27666,133795137,133795010,55094,0,OPTATIVO,GRADUAÇÃO
27695,139850945,134044403,69615,0,OPTATIVO,GRADUAÇÃO
27703,133804587,133804382,66437,3,OBRIGATÓRIO,GRADUAÇÃO
27733,136481511,133797961,68509,0,OPTATIVO,GRADUAÇÃO
27742,133798074,133797961,61115,0,OPTATIVO,GRADUAÇÃO
27753,134044583,134044403,52664,3,OBRIGATÓRIO,GRADUAÇÃO
27756,133804410,133804382,2054905,0,OPTATIVO,GRADUAÇÃO
27769,134044475,134044403,52811,0,OPTATIVO,GRADUAÇÃO
27842,133797983,133797961,68133,0,OPTATIVO,GRADUAÇÃO
27893,133804549,133804382,55062,0,OPTATIVO,GRADUAÇÃO
27958,133795070,133795010,52975,0,OPTATIVO,GRADUAÇÃO
28026,133798001,133797961,2054925,0,OPTATIVO,GRADUAÇÃO
28077,133798126,133797961,52694,0,OPTATIVO,GRADUAÇÃO
28148,134044522,134044403,61109,0,OPTATIVO,GRADUAÇÃO
28180,139890032,133797961,72274,0,OPTATIVO,GRADUAÇÃO
28182,133804581,133804382,52665,2,OBRIGATÓRIO,GRADUAÇÃO
28233,151047036,133804382,69600,0,OPTATIVO,GRADUAÇÃO
28330,133804456,133804382,61105,0,OPTATIVO,GRADUAÇÃO
28484,133795200,133795010,62887,0,OPTATIVO,GRADUAÇÃO
28839,133795227,133795010,66444,2,OBRIGATÓRIO,GRADUAÇÃO
28844,151043565,134044403,72714,0,OPTATIVO,GRADUAÇÃO
28920,133798189,133797961,52664,5,OBRIGATÓRIO,GRADUAÇÃO
28959,134044541,134044403,55039,0,OPTATIVO,GRADUAÇÃO
28993,133798138,133797961,55059,0,OPTATIVO,GRADUAÇÃO
29007,136619423,133795010,70886,0,OPTATIVO,GRADUAÇÃO
29043,134044526,134044403,61113,0,OPTATIVO,GRADUAÇÃO
29198,134044535,134044403,61122,0,OPTATIVO,GRADUAÇÃO
29231,134044458,134044403,2054922,0,OPTATIVO,GRADUAÇÃO
29236,133795030,133795010,26923,0,OPTATIVO,GRADUAÇÃO
29267,133804531,133804382,52697,0,OPTATIVO,GRADUAÇÃO
29352,134044434,134044403,25764,0,OPTATIVO,GRADUAÇÃO
29361,133798011,133797961,2054953,0,OPTATIVO,GRADUAÇÃO
29397,133798068,133797961,61109,0,OPTATIVO,GRADUAÇÃO
29415,136619422,133795010,70926,0,OPTATIVO,GRADUAÇÃO
29577,133798042,133797961,59738,0,OPTATIVO,GRADUAÇÃO
29663,133798159,133797961,65102,0,OPTATIVO,GRADUAÇÃO
29711,133798027,133797961,25561,0,OPTATIVO,GRADUAÇÃO
29805,134044642,134044403,2054912,4,OBRIGATÓRIO,GRADUAÇÃO
29829,133797994,133797961,2054905,0,OPTATIVO,GRADUAÇÃO
29849,133804593,133804382,23558,5,OBRIGATÓRIO,GRADUAÇÃO
29878,134044643,134044403,55026,4,OBRIGATÓRIO,GRADUAÇÃO
29999,133804461,133804382,61096,0,OPTATIVO,GRADUAÇÃO
30096,134044593,134044403,55054,0,OPTATIVO,GRADUAÇÃO
30123,134044443,134044403,21783,0,OPTATIVO,GRADUAÇÃO
30325,133804495,133804382,55041,0,OPTATIVO,GRADUAÇÃO
30345,133804439,133804382,56269,0,OPTATIVO,GRADUAÇÃO
30439,133795187,133795010,55059,0,OPTATIVO,GRADUAÇÃO
30526,134044453,134044403,2040705,0,OPTATIVO,GRADUAÇÃO
30611,134044588,134044403,2054919,7,OBRIGATÓRIO,GRADUAÇÃO
30622,134107162,133797961,64879,0,OPTATIVO,GRADUAÇÃO
30633,134044543,134044403,55094,0,OPTATIVO,GRADUAÇÃO
30697,134044572,134044403,55059,0,OPTATIVO,GRADUAÇÃO
30709,133795186,133795010,55058,0,OPTATIVO,GRADUAÇÃO
30932,133795065,133795010,52811,0,OPTATIVO,GRADUAÇÃO
31216,133798133,133797961,52996,0,OPTATIVO,GRADUAÇÃO
31223,133798125,133797961,52693,0,OPTATIVO,GRADUAÇÃO
31234,133795141,133795010,55043,0,OPTATIVO,GRADUAÇÃO
31243,151047037,133804382,69606,0,OPTATIVO,GRADUAÇÃO
31367,133797972,133797961,26908,0,OPTATIVO,GRADUAÇÃO
31559,151040546,133795010,72714,0,OPTATIVO,GRADUAÇÃO
31625,133804483,133804382,61118,0,OPTATIVO,GRADUAÇÃO
31715,133798003,133797961,2054928,0,OPTATIVO,GRADUAÇÃO
31994,133798177,133797961,55021,2,OBRIGATÓRIO,GRADUAÇÃO
32037,133795040,133795010,2054904,0,OPTATIVO,GRADUAÇÃO
32134,133798081,133797961,61122,0,OPTATIVO,GRADUAÇÃO
32197,133798191,133797961,52790,6,OBRIGATÓRIO,GRADUAÇÃO
32374,133795021,133795010,26908,0,OPTATIVO,GRADUAÇÃO
32377,134044479,134044403,52974,0,OPTATIVO,GRADUAÇÃO
32485,133798141,133797961,55085,0,OPTATIVO,GRADUAÇÃO
32494,134044442,134044403,21787,0,OPTATIVO,GRADUAÇÃO
32527,151043561,134044403,72715,0,OPTATIVO,GRADUAÇÃO
32585,133795076,133795010,20033,0,OPTATIVO,GRADUAÇÃO
32599,133795122,133795010,61115,0,OPTATIVO,GRADUAÇÃO
32613,133797977,133797961,26919,0,OPTATIVO,GRADUAÇÃO
32619,134044481,134044403,52990,0,OPTATIVO,GRADUAÇÃO
32703,133804821,133804382,2040950,0,OPTATIVO,GRADUAÇÃO
32734,133798123,133797961,52691,0,OPTATIVO,GRADUAÇÃO
32739,133795192,133795010,68482,0,OPTATIVO,GRADUAÇÃO
32776,133798176,133797961,55020,2,OBRIGATÓRIO,GRADUAÇÃO
32850,151042958,133804382,72710,0,OPTATIVO,GRADUAÇÃO
32895,133795046,133795010,2054919,0,OPTATIVO,GRADUAÇÃO
32951,151042959,133804382,72709,0,OPTATIVO,GRADUAÇÃO
33136,133798914,133795010,69600,0,OPTATIVO,GRADUAÇÃO
33166,134044438,134044403,21774,0,OPTATIVO,GRADUAÇÃO
33187,133804564,133804382,66481,0,OPTATIVO,GRADUAÇÃO
33200,133795139,133795010,55044,0,OPTATIVO,GRADUAÇÃO
33209,133797973,133797961,26915,0,OPTATIVO,GRADUAÇÃO
33275,134044579,134044403,55022,2,OBRIGATÓRIO,GRADUAÇÃO
33283,133795052,133795010,2054929,0,OPTATIVO,GRADUAÇÃO
33392,134044648,134044403,69698,5,OBRIGATÓRIO,GRADUAÇÃO
33411,133798102,133797961,52792,0,OPTATIVO,GRADUAÇÃO
33512,134044505,134044403,61106,0,OPTATIVO,GRADUAÇÃO
33695,133795218,133795010,23557,0,OPTATIVO,GRADUAÇÃO
33749,139931770,133804382,69603,0,OPTATIVO,GRADUAÇÃO
33752,133795224,133795010,66438,1,OBRIGATÓRIO,GRADUAÇÃO
33772,133795211,133795010,68510,0,OPTATIVO,GRADUAÇÃO
33861,133804482,133804382,61117,0,OPTATIVO,GRADUAÇÃO
33937,133795193,133795010,63936,0,OPTATIVO,GRADUAÇÃO
33952,133804422,133804382,2054931,0,OPTATIVO,GRADUAÇÃO
33967,133795167,133795010,55053,0,OPTATIVO,GRADUAÇÃO
34071,134044436,134044403,26934,0,OPTATIVO,GRADUAÇÃO
34211,133795087,133795010,59735,0,OPTATIVO,GRADUAÇÃO
34251,133804388,133804382,55939,0,OPTATIVO,GRADUAÇÃO
34328,133798906,133795010,69598,0,OPTATIVO,GRADUAÇÃO
34381,133804566,133804382,61132,0,OPTATIVO,GRADUAÇÃO
34454,133798937,133795010,69623,0,OPTATIVO,GRADUAÇÃO
34547,133798026,133797961,23553,0,OPTATIVO,GRADUAÇÃO
34785,134044450,134044403,2040702,0,OPTATIVO,GRADUAÇÃO
34811,133798096,133797961,55045,0,OPTATIVO,GRADUAÇÃO
35053,133795084,133795010,59732,0,OPTATIVO,GRADUAÇÃO
35308,137397631,133804382,66439,0,OPTATIVO,GRADUAÇÃO
35484,133797971,133797961,68447,0,OPTATIVO,GRADUAÇÃO
35526,134044411,134044403,55939,0,OPTATIVO,GRADUAÇÃO
35529,133799099,133797961,69602,0,OPTATIVO,GRADUAÇÃO
35553,134044407,134044403,43193,0,OPTATIVO,GRADUAÇÃO
35617,140868869,133795010,26904,0,OPTATIVO,GRADUAÇÃO
35784,133795158,133795010,52795,0,OPTATIVO,GRADUAÇÃO
35822,133795107,133795010,61100,0,OPTATIVO,GRADUAÇÃO
35846,133798098,133797961,55048,0,OPTATIVO,GRADUAÇÃO
35852,133804443,133804382,59733,0,OPTATIVO,GRADUAÇÃO
35907,134044465,134044403,2054930,0,OPTATIVO,GRADUAÇÃO
36002,133798039,133797961,59735,0,OPTATIVO,GRADUAÇÃO
36045,133804424,133804382,2054950,0,OPTATIVO,GRADUAÇÃO
36050,133795117,133795010,61110,0,OPTATIVO,GRADUAÇÃO
36054,133804477,133804382,61112,0,OPTATIVO,GRADUAÇÃO
36376,140869114,133804382,26904,0,OPTATIVO,GRADUAÇÃO
36436,151006945,133797961,66443,0,OPTATIVO,GRADUAÇÃO
36448,133798063,133797961,61085,0,OPTATIVO,GRADUAÇÃO
36506,133799090,133797961,69592,0,OPTATIVO,GRADUAÇÃO
36707,133798154,133797961,63932,0,OPTATIVO,GRADUAÇÃO
36729,133804468,133804382,61084,0,OPTATIVO,GRADUAÇÃO
36736,133795156,133795010,52684,0,OPTATIVO,GRADUAÇÃO
36770,133798188,133797961,52666,4,OBRIGATÓRIO,GRADUAÇÃO
36777,137396715,133795010,66439,0,OPTATIVO,GRADUAÇÃO
36895,133798912,133795010,69597,0,OPTATIVO,GRADUAÇÃO
36921,151040549,133795010,72709,0,OPTATIVO,GRADUAÇÃO
36954,133804553,133804382,62886,0,OPTATIVO,GRADUAÇÃO
36969,133804511,133804382,52791,0,OPTATIVO,GRADUAÇÃO
36983,133795036,133795010,21717,0,OPTATIVO,GRADUAÇÃO
37103,133795238,133795010,52666,4,OBRIGATÓRIO,GRADUAÇÃO
37199,133798122,133797961,52690,0,OPTATIVO,GRADUAÇÃO
37342,133804584,133804382,55024,3,OBRIGATÓRIO,GRADUAÇÃO
37366,133798112,133797961,52793,0,OPTATIVO,GRADUAÇÃO
37472,134044533,134044403,61120,0,OPTATIVO,GRADUAÇÃO
37521,133804601,133804382,52974,6,OBRIGATÓRIO,GRADUAÇÃO
37681,133797962,133797961,2041507,0,OPTATIVO,GRADUAÇÃO
37793,133798928,133795010,69614,0,OPTATIVO,GRADUAÇÃO
37821,134044470,134044403,2054952,0,OPTATIVO,GRADUAÇÃO
37900,140869138,134044403,26904,0,OPTATIVO,GRADUAÇÃO
38184,137397242,133797961,69695,0,OPTATIVO,GRADUAÇÃO
38216,134044639,134044403,55025,3,OBRIGATÓRIO,GRADUAÇÃO
38257,134044547,134044403,55043,0,OPTATIVO,GRADUAÇÃO
38474,133804535,133804382,52702,0,OPTATIVO,GRADUAÇÃO
38508,133795038,133795010,21783,0,OPTATIVO,GRADUAÇÃO
38689,134044490,134044403,59732,0,OPTATIVO,GRADUAÇÃO
38695,133795019,133795010,62382,0,OPTATIVO,GRADUAÇÃO
38730,133804550,133804382,66482,0,OPTATIVO,GRADUAÇÃO
38735,133804455,133804382,61104,0,OPTATIVO,GRADUAÇÃO
38782,134044471,134044403,2054953,0,OPTATIVO,GRADUAÇÃO
38865,134045128,134044403,66440,1,OBRIGATÓRIO,GRADUAÇÃO
38972,134044619,134044403,63933,0,OPTATIVO,GRADUAÇÃO
39012,133798010,133797961,2054952,0,OPTATIVO,GRADUAÇÃO
39055,133799101,133797961,69604,0,OPTATIVO,GRADUAÇÃO
39343,133804499,133804382,55096,0,OPTATIVO,GRADUAÇÃO
39464,151048617,133804382,69593,0,OPTATIVO,GRADUAÇÃO
39527,134044610,134044403,55062,0,OPTATIVO,GRADUAÇÃO
39805,137397981,134044403,70926,0,OPTATIVO,GRADUAÇÃO
39806,133795097,133795010,61104,0,OPTATIVO,GRADUAÇÃO
39810,133798029,133797961,46256,0,OPTATIVO,GRADUAÇÃO
39834,133798104,133797961,52685,0,OPTATIVO,GRADUAÇÃO
39863,133795037,133795010,21787,0,OPTATIVO,GRADUAÇÃO
39872,133798000,133797961,2054922,0,OPTATIVO,GRADUAÇÃO
40234,133799086,133797961,69589,0,OPTATIVO,GRADUAÇÃO
40299,133795112,133795010,61086,0,OPTATIVO,GRADUAÇÃO
40621,134107140,133795010,64878,0,OPTATIVO,GRADUAÇÃO
40632,133804484,133804382,61119,0,OPTATIVO,GRADUAÇÃO
40757,133795169,133795010,55074,0,OPTATIVO,GRADUAÇÃO
40825,134044630,134044403,53193,0,OPTATIVO,GRADUAÇÃO
40872,133804385,133804382,26528,0,OPTATIVO,GRADUAÇÃO
40912,133795062,133795010,2054956,0,OPTATIVO,GRADUAÇÃO
40916,133804480,133804382,61115,0,OPTATIVO,GRADUAÇÃO
41095,133798009,133797961,2054951,0,OPTATIVO,GRADUAÇÃO
41144,133804444,133804382,59734,0,OPTATIVO,GRADUAÇÃO
41179,133804558,133804382,63933,0,OPTATIVO,GRADUAÇÃO
41287,151047858,133804382,69624,0,OPTATIVO,GRADUAÇÃO
41388,133798058,133797961,61099,0,OPTATIVO,GRADUAÇÃO
41391,133804824,133804382,42066,0,OPTATIVO,GRADUAÇÃO
41403,133804542,133804382,55060,0,OPTATIVO,GRADUAÇÃO
41432,133798167,133797961,55325,0,OPTATIVO,GRADUAÇÃO
41457,133804437,133804382,27733,0,OPTATIVO,GRADUAÇÃO
41483,151040542,133795010,66443,0,OPTATIVO,GRADUAÇÃO
41540,133795207,133795010,63934,0,OPTATIVO,GRADUAÇÃO
41552,134044416,134044403,26908,0,OPTATIVO,GRADUAÇÃO
41611,134044546,134044403,55095,0,OPTATIVO,GRADUAÇÃO
41722,133795180,133795010,52700,0,OPTATIVO,GRADUAÇÃO
41734,134044418,134044403,26916,0,OPTATIVO,GRADUAÇÃO
41911,134044437,134044403,23558,0,OPTATIVO,GRADUAÇÃO
41932,134044584,134044403,52870,6,OBRIGATÓRIO,GRADUAÇÃO
41983,133795110,133795010,61084,0,OPTATIVO,GRADUAÇÃO
41998,134044448,134044403,2040700,0,OPTATIVO,GRADUAÇÃO
42076,134044529,134044403,61116,0,OPTATIVO,GRADUAÇÃO
42088,133799388,133795010,69696,0,OPTATIVO,GRADUAÇÃO
42165,134044417,134044403,26915,0,OPTATIVO,GRADUAÇÃO
42195,134089027,133795010,69698,0,OPTATIVO,GRADUAÇÃO
42234,133804462,133804382,61097,0,OPTATIVO,GRADUAÇÃO
42276,134044512,134044403,61099,0,OPTATIVO,GRADUAÇÃO
42336,133798031,133797961,51457,0,OPTATIVO,GRADUAÇÃO
42474,133804523,133804382,55074,0,OPTATIVO,GRADUAÇÃO
42498,133799108,133797961,69611,0,OPTATIVO,GRADUAÇÃO
42538,134044587,134044403,2054914,7,OBRIGATÓRIO,GRADUAÇÃO
42566,133804400,133804382,26921,0,OPTATIVO,GRADUAÇÃO
42606,134044538,134044403,55036,0,OPTATIVO,GRADUAÇÃO
42651,134044601,134044403,52698,0,OPTATIVO,GRADUAÇÃO
42724,134044467,134044403,2054932,0,OPTATIVO,GRADUAÇÃO
42785,133798054,133797961,61095,0,OPTATIVO,GRADUAÇÃO
42859,133795071,133795010,52990,0,OPTATIVO,GRADUAÇÃO
42901,133798165,133797961,65103,0,OPTATIVO,GRADUAÇÃO
43030,134044452,134044403,2040704,0,OPTATIVO,GRADUAÇÃO
43043,133797986,133797961,21764,0,OPTATIVO,GRADUAÇÃO
43085,134044506,134044403,61107,0,OPTATIVO,GRADUAÇÃO
43091,133795201,133795010,62888,0,OPTATIVO,GRADUAÇÃO
43094,134045134,134044403,66373,6,OBRIGATÓRIO,GRADUAÇÃO
43153,134044608,134044403,68482,0,OPTATIVO,GRADUAÇÃO
43254,133798166,133797961,53193,0,OPTATIVO,GRADUAÇÃO
43264,133804537,133804382,55055,0,OPTATIVO,GRADUAÇÃO
43354,134044518,134044403,61086,0,OPTATIVO,GRADUAÇÃO
43374,134044429,134044403,26928,0,OPTATIVO,GRADUAÇÃO
43464,133797976,133797961,26918,0,OPTATIVO,GRADUAÇÃO
43546,133795069,133795010,52974,0,OPTATIVO,GRADUAÇÃO
43637,133798050,133797961,61105,0,OPTATIVO,GRADUAÇÃO
43691,133804430,133804382,2054956,0,OPTATIVO,GRADUAÇÃO
43837,133804431,133804382,52813,0,OPTATIVO,GRADUAÇÃO
43859,133804532,133804382,52698,0,OPTATIVO,GRADUAÇÃO
43869,134044489,134044403,57807,0,OPTATIVO,GRADUAÇÃO
43895,133804534,133804382,52700,0,OPTATIVO,GRADUAÇÃO
43914,133798131,133797961,52700,0,OPTATIVO,GRADUAÇÃO
44105,133804518,133804382,52687,0,OPTATIVO,GRADUAÇÃO
44128,133804423,133804382,2054932,0,OPTATIVO,GRADUAÇÃO
44200,133795219,133795010,55019,1,OBRIGATÓRIO,GRADUAÇÃO
44237,133795063,133795010,52813,0,OPTATIVO,GRADUAÇÃO
44250,133798180,133797961,52665,2,OBRIGATÓRIO,GRADUAÇÃO
44349,133804473,133804382,61094,0,OPTATIVO,GRADUAÇÃO
44489,133798051,133797961,61106,0,OPTATIVO,GRADUAÇÃO
44502,133804552,133804382,61129,0,OPTATIVO,GRADUAÇÃO
44521,133798918,133795010,69604,0,OPTATIVO,GRADUAÇÃO
44635,133798119,133797961,55054,0,OPTATIVO,GRADUAÇÃO
44690,133804463,133804382,61098,0,OPTATIVO,GRADUAÇÃO
44711,134044537,134044403,52673,0,OPTATIVO,GRADUAÇÃO
44758,133798030,133797961,27733,0,OPTATIVO,GRADUAÇÃO
44777,133804578,133804382,52662,2,OBRIGATÓRIO,GRADUAÇÃO
44843,133804466,133804382,61101,0,OPTATIVO,GRADUAÇÃO
44870,134045737,133804382,69698,6,OBRIGATÓRIO,GRADUAÇÃO
44900,133798931,133795010,69617,0,OPTATIVO,GRADUAÇÃO
45003,139853022,133797961,72275,0,OPTATIVO,GRADUAÇÃO
45133,133795125,133795010,61118,0,OPTATIVO,GRADUAÇÃO
45137,133804582,133804382,66444,2,OBRIGATÓRIO,GRADUAÇÃO
45209,134044557,134044403,52792,0,OPTATIVO,GRADUAÇÃO
45283,133798930,133795010,69616,0,OPTATIVO,GRADUAÇÃO
45456,151036498,133797961,72715,0,OPTATIVO,GRADUAÇÃO
45492,133797966,133797961,64877,0,OPTATIVO,GRADUAÇÃO
45547,133804598,133804382,52790,6,OBRIGATÓRIO,GRADUAÇÃO
45563,133804589,133804382,55027,4,OBRIGATÓRIO,GRADUAÇÃO
45693,133798124,133797961,52692,0,OPTATIVO,GRADUAÇÃO
45748,133799084,133797961,69587,0,OPTATIVO,GRADUAÇÃO
45784,133799120,133797961,69623,0,OPTATIVO,GRADUAÇÃO
45793,133798147,133797961,66482,0,OPTATIVO,GRADUAÇÃO
45800,139927845,133804382,69605,0,OPTATIVO,GRADUAÇÃO
45831,133798059,133797961,61100,0,OPTATIVO,GRADUAÇÃO
45912,139850505,133797961,69693,0,OPTATIVO,GRADUAÇÃO
45984,133795225,133795010,66440,1,OBRIGATÓRIO,GRADUAÇÃO
46137,133804451,133804382,65104,0,OPTATIVO,GRADUAÇÃO
46197,133795060,133795010,2054954,0,OPTATIVO,GRADUAÇÃO
46277,151042963,133804382,72711,0,OPTATIVO,GRADUAÇÃO
46287,137509250,134044403,70970,0,OPTATIVO,GRADUAÇÃO
46399,133798916,133795010,69602,0,OPTATIVO,GRADUAÇÃO
46528,134044555,134044403,52790,0,OPTATIVO,GRADUAÇÃO
46587,133797987,133797961,21717,0,OPTATIVO,GRADUAÇÃO
46667,134044559,134044403,52682,0,OPTATIVO,GRADUAÇÃO
46680,151048615,133804382,69590,0,OPTATIVO,GRADUAÇÃO
46724,133798037,133797961,59733,0,OPTATIVO,GRADUAÇÃO
46741,133798173,133797961,66436,1,OBRIGATÓRIO,GRADUAÇÃO
46768,133798917,133795010,69603,0,OPTATIVO,GRADUAÇÃO
46802,133799107,133797961,69610,0,OPTATIVO,GRADUAÇÃO
46873,151036495,133797961,72711,0,OPTATIVO,GRADUAÇÃO
46913,133804471,133804382,61087,0,OPTATIVO,GRADUAÇÃO
46921,133795106,133795010,61099,0,OPTATIVO,GRADUAÇÃO
46957,133798936,133795010,69622,0,OPTATIVO,GRADUAÇÃO
47029,133795016,133795010,55939,0,OPTATIVO,GRADUAÇÃO
47183,134044427,134044403,2022853,0,OPTATIVO,GRADUAÇÃO
47188,133795170,133795010,55083,0,OPTATIVO,GRADUAÇÃO
47203,134044500,134044403,68476,0,OPTATIVO,GRADUAÇÃO
47226,133795067,133795010,52972,0,OPTATIVO,GRADUAÇÃO
47290,133795153,133795010,52685,0,OPTATIVO,GRADUAÇÃO
47331,151040548,133795010,72708,0,OPTATIVO,GRADUAÇÃO
47596,137397633,133804382,70883,0,OPTATIVO,GRADUAÇÃO
47745,133798103,133797961,52789,0,OPTATIVO,GRADUAÇÃO
47922,151047039,133804382,69608,0,OPTATIVO,GRADUAÇÃO
48004,133804476,133804382,61111,0,OPTATIVO,GRADUAÇÃO
48008,133795032,133795010,68133,0,OPTATIVO,GRADUAÇÃO
48074,134044651,134044403,52866,5,OBRIGATÓRIO,GRADUAÇÃO
48141,133798017,133797961,52811,0,OPTATIVO,GRADUAÇÃO
48143,133797992,133797961,2054904,0,OPTATIVO,GRADUAÇÃO
48149,133804418,133804382,2054927,0,OPTATIVO,GRADUAÇÃO
48456,134044406,134044403,2041507,0,OPTATIVO,GRADUAÇÃO
48690,133795173,133795010,52692,0,OPTATIVO,GRADUAÇÃO
48697,137397243,133797961,69696,0,OPTATIVO,GRADUAÇÃO
48709,136619425,133795010,70884,0,OPTATIVO,GRADUAÇÃO
48798,140151364,134044403,69598,0,OPTATIVO,GRADUAÇÃO
48821,133804453,133804382,61102,0,OPTATIVO,GRADUAÇÃO
48849,151046242,133804382,66426,0,OPTATIVO,GRADUAÇÃO
49001,133804559,133804382,63937,0,OPTATIVO,GRADUAÇÃO
49002,133795198,133795010,61129,0,OPTATIVO,GRADUAÇÃO
49151,133804569,133804382,53193,0,OPTATIVO,GRADUAÇÃO
49159,137397986,134044403,69695,0,OPTATIVO,GRADUAÇÃO
49199,133795017,133795010,55940,0,OPTATIVO,GRADUAÇÃO
49295,151043566,134044403,66443,0,OPTATIVO,GRADUAÇÃO
49403,134044532,134044403,61119,0,OPTATIVO,GRADUAÇÃO
49423,151040547,133795010,72715,0,OPTATIVO,GRADUAÇÃO
49511,133804432,133804382,52990,0,OPTATIVO,GRADUAÇÃO
49605,134044628,134044403,68477,0,OPTATIVO,GRADUAÇÃO
49654,133795171,133795010,52690,0,OPTATIVO,GRADUAÇÃO
49700,133798021,133797961,52974,0,OPTATIVO,GRADUAÇÃO
49736,133804440,133804382,57806,0,OPTATIVO,GRADUAÇÃO
49743,133798161,133797961,66481,0,OPTATIVO,GRADUAÇÃO
49822,134044464,134044403,2054929,0,OPTATIVO,GRADUAÇÃO
49823,133795165,133795010,52688,0,OPTATIVO,GRADUAÇÃO
49982,133804425,133804382,2054951,0,OPTATIVO,GRADUAÇÃO
49987,134044622,134044403,63934,0,OPTATIVO,GRADUAÇÃO
50026,133795176,133795010,52794,0,OPTATIVO,GRADUAÇÃO
50150,151043562,134044403,72711,0,OPTATIVO,GRADUAÇÃO
50231,136619677,133797961,70926,0,OPTATIVO,GRADUAÇÃO
50271,134044571,134044403,55058,0,OPTATIVO,GRADUAÇÃO
50376,134044409,134044403,59634,0,OPTATIVO,GRADUAÇÃO
50437,134044472,134044403,2054954,0,OPTATIVO,GRADUAÇÃO
50535,133798923,133795010,69609,0,OPTATIVO,GRADUAÇÃO
50555,133795057,133795010,2054951,0,OPTATIVO,GRADUAÇÃO
50672,133795197,133795010,66665,0,OPTATIVO,GRADUAÇÃO
50802,151051343,133804382,69597,0,OPTATIVO,GRADUAÇÃO
50836,134044496,134044403,59738,0,OPTATIVO,GRADUAÇÃO
51000,133804528,133804382,52693,0,OPTATIVO,GRADUAÇÃO
51004,133804409,133804382,2054957,0,OPTATIVO,GRADUAÇÃO
51066,134044626,134044403,68510,0,OPTATIVO,GRADUAÇÃO
51072,133804497,133804382,55095,0,OPTATIVO,GRADUAÇÃO
51133,134089101,133797961,69698,0,OPTATIVO,GRADUAÇÃO
51185,137397985,134044403,70883,0,OPTATIVO,GRADUAÇÃO
51290,133798016,133797961,52866,0,OPTATIVO,GRADUAÇÃO
51336,133799119,133797961,69622,0,OPTATIVO,GRADUAÇÃO
51376,133795215,133795010,53193,0,OPTATIVO,GRADUAÇÃO
51422,133798046,133797961,68476,0,OPTATIVO,GRADUAÇÃO
51427,133798040,133797961,59736,0,OPTATIVO,GRADUAÇÃO
51511,133795114,133795010,61093,0,OPTATIVO,GRADUAÇÃO
51533,133795055,133795010,2054932,0,OPTATIVO,GRADUAÇÃO
51535,133804389,133804382,55940,0,OPTATIVO,GRADUAÇÃO
51573,151042306,133797961,52689,0,OPTATIVO,GRADUAÇÃO
51615,151047855,133804382,69621,0,OPTATIVO,GRADUAÇÃO
51616,133798175,133797961,66440,1,OBRIGATÓRIO,GRADUAÇÃO
51717,133798048,133797961,61103,0,OPTATIVO,GRADUAÇÃO
51969,133795074,133795010,23553,0,OPTATIVO,GRADUAÇÃO
51992,134044520,134044403,61093,0,OPTATIVO,GRADUAÇÃO
52008,134044565,134044403,52793,0,OPTATIVO,GRADUAÇÃO
52096,134044625,134044403,66481,0,OPTATIVO,GRADUAÇÃO
52141,133804454,133804382,61103,0,OPTATIVO,GRADUAÇÃO
52207,133804605,133804382,52975,7,OBRIGATÓRIO,GRADUAÇÃO
52304,133799083,133797961,69586,0,OPTATIVO,GRADUAÇÃO
52318,134044424,134044403,26922,0,OPTATIVO,GRADUAÇÃO
52446,133804513,133804382,52681,0,OPTATIVO,GRADUAÇÃO
52507,134044590,134044403,52995,0,OPTATIVO,GRADUAÇÃO
52568,133798043,133797961,59739,0,OPTATIVO,GRADUAÇÃO
52637,133804502,133804382,55049,0,OPTATIVO,GRADUAÇÃO
