id_componente,codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
42066,LEM2020,INGLÊS PARA FINS ACADÊMICOS I,60,0,60,( LET0029 ) OU ( LET0040 ) ,,
42067,LEM2021,INGLÊS PARA FINS ACADÊMICOS II,60,0,60,( LET0030 ) OU ( LET0041 ) ,LEM2020 ,
43193,DAN0007,ANTROPOLOGIA AFRO-BRASILEIRA,45,15,60,,,
43523,DIM0453,TREINAMENTO AVANCADO PARA COMPETICOES DE PROGRAMACAO,30,30,60,,( DIM0110 ) OU ( DIM0410 ) ,
46256,FPE0087,LÍNGUA BRASILEIRA DE SINAIS - LIBRAS,45,15,60,( EDU0087 OU EDE0200 OU LET0568 ) ,,
47074,ECT1564,GESTÃO ESTRATÉGICA,60,0,60,,,
51457,ICE1024,FUNDAMENTOS DE BIOINFORMÁTICA,60,0,60,( ( DBG0037 ) E ( DBF0112 ) E ( DIM0420 ) ) ,,
52536,IMD0011,CIRCUITOS LÓGICOS,60,30,90,( DIM0109 ) OU ( DIM0402 E DIM0403 ) OU ( DCA0202 ) OU ( ELE0424 ) OU ( DCA0101 E DCA0102 ) ,,( IMD0012 ) 
52650,IMD0012,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,90,0,90,( DIM0108 ) OU ( IMD1000 ) OU ( DIM0118 ) OU IMD1012 OU DIM0133 ,( IMD0019 OU IMD1004 OU DIM0123 ) ,
52662,IMD0024,CÁLCULO DIFERENCIAL E INTEGRAL I,90,0,90,MAT0311 OU MAT0318 OU MAT0345 OU MAT0228 OU MAT0004 OU MAT0340 OU ( MAT0057 E MAT0058 ) OU ECT1102 OU MAT0023 ,( IMD0019 OU IMD1001 ) ,
52664,IMD0033,PROBABILIDADE,60,0,60,DIM0132 OU EST0322 OU ( EST0032 E EST0033 ) OU ( DCT1305 E BSI1305 ) ,IMD0024 E ( IMD1002 OU IMD0019 ) ,
52665,IMD0034,VETORES E GEOMETRIA ANALÍTICA,60,0,60,( ECT1112 E ECT1211 ) OU ( ECT2102 ) OU ( MAT0230 ) ,( IMD0019 OU IMD1001 ) ,
52666,IMD0036,SISTEMAS OPERACIONAIS,60,0,60,DIM0432 OU DCA0108 OU DIM0615 OU IMD0042 OU DIM0131 ,( IMD0021 OU IMD0041 OU IMD0121 OU DIM0127 OU DIM0431 OU DCA0104 ) ,
52672,IMD0308,SISTEMAS EMBARCADOS DE TEMPO REAL,60,0,60,,( IMD0036 OU IMD0042 ) E ( IMD0323 ) ,
52673,IMD0309,INSTRUMENTAÇÃO ELETROELETRÔNICA,30,30,60,,( IMD0320 ) ,
52680,IMD0402,DESIGN DE SOFTWARE I,60,0,60,( IMD0423 ) ,,
52681,IMD0411,INTRODUÇÃO À GOVERNANÇA E GESTÃO DE TI,60,0,60,,IMD0405 ,
52682,IMD0406,PROTOCOLO E SERVIÇOS DE INTERNET,30,0,30,,( IMD0043 ) ,
52683,IMD0407,DESIGN DE SOFTWARE II,60,0,60,DIM0504 ,,
52684,IMD0408,PROCESSOS DE SOFTWARE,60,0,60,( DIM0510 ) ,,( IMD0407 ) 
52685,IMD0405,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,60,0,60,( ADM0058 ) ,,
52686,IMD0415,GESTÃO DE INFRAESTRUTURA DE TI,60,0,60,,,
52687,IMD0416,SEGURANÇA DA INFORMAÇÃO,60,0,60,,IMD0405 ,
52688,IMD0417,GESTÃO DE PROJETOS DE SOFTWARE,60,0,60,,IMD0408 ,
52689,IMD0501,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL,60,0,60,,,
52690,IMD0502,PROCESSO DE DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL,60,0,60,( DIM0510 ) ,,
52691,IMD0503,LEVANTAMENTO E MODELAGEM DE REQUISITOS,60,0,60,DIM0511 ,,
52692,IMD0504,"RELAÇÕES ENTRE COMUNICAÇÃO, MÍDIA E EDUCAÇÃO",60,0,60,,,
52693,IMD0505,DESIGN DA INTERAÇÃO HUMANO-COMPUTADOR,60,0,60,DIM0508 ,,
52694,IMD0506,SISTEMAS COLABORATIVOS DE APOIO À APRENDIZAGEM,45,15,60,,,
52697,IMD0510,ACESSIBILIDADE DIGITAL,45,15,60,,,
52698,IMD0511,INTELIGÊNCIA ARTIFICIAL APLICADA À EDUCAÇÃO,60,0,60,,,
52699,IMD0512,AVALIAÇÃO DA INTERAÇÃO HUMANO-COMPUTADOR,45,15,60,,,
52700,IMD0513,EMPREENDEDORISMO,60,0,60,DIM0345 ,,
52702,IMD0515,TÓPICOS ESPECIAIS EM INFORMÁTICA EDUCACIONAL I,60,0,60,,,
52788,IMD0412,INTRODUÇÃO AO TESTE DE SOFTWARE,60,0,60,DIM0507 ,( IMD0035 ) OU ( ( IMD0040 ) E ( IMD0423 OU IMD0503 ) ) ,
52789,IMD0404,DESENVOLVIMENTO DE SISTEMAS WEB I,30,30,60,( DIM0546 ) ,( IMD0030 OU DCA1202 ) ,
52790,IMD0401,BANCO DE DADOS,45,15,60,( DIM0434 ) OU ( DIM0114 ) ,IMD0040 OU DIM0116 OU DCA1202 ,
52791,IMD0409,DESENVOLVIMENTO DE SISTEMAS WEB II,30,30,60,( DIM0547 ) ,,( IMD0404 ) 
52792,IMD0403,PROGRAMAÇÃO COM BANCO DE DADOS,30,30,60,,IMD0401 ,
52793,IMD0413,DESENVOLVIMENTO PARA AMBIENTE DESKTOP,30,30,60,,( IMD0040 ) ,
52794,IMD0509,DESENVOLVIMENTO PARA DISPOSITIVOS MÓVEIS,30,30,60,,IMD0040 OU DCA1202 ,
52795,IMD0410,PROGRAMAÇÃO CONCORRENTE E DISTRIBUÍDA,45,15,60,( DIM0542 E DIM0502 ) OU ( DIM0553 E DIM0502 ) ,( ( IMD0032 ) E ( IMD0031 ) ) OU ( ( IMD0040 ) E ( IMD0043 ) E ( IMD0042 OU IMD0036 OU DIM0615 ) ) ,
52796,IMD0414,SISTEMA DE INFORMAÇÃO DISTRIBUÍDO,45,15,60,,IMD0410 ,
52811,DIM0550,MÉTODOS EXPERIMENTAIS EM ENGENHARIA DE SOFTWARE,40,20,60,,IMD0033 OU DIM0132 OU EST0323 ,
52813,DIM0548,ENGENHARIA DE LINGUAGENS,40,20,60,,( IMD0039 OU DIM0117 ) E ( IMD0040 OU DIM0016 ) ,
52866,DIM0549,GRAFOS,60,0,60,( DIM0412 ) ,( IMD0039 OU DIM0117 ) OU ( DCA0204 E DCA0434 ) ,
52867,DIM0546,DESENVOLVIMENTO DE SISTEMAS WEB I,40,20,60,( IMD0404 ) OU ( DIM0543 ) OU ( DIM0513 ) ,( IMD0030 ) OU ( DIM0120 ) ,
52870,DIM0547,DESENVOLVIMENTO DE SISTEMAS WEB II,45,15,60,( IMD0409 ) ,( DIM0546 OU IMD0404 ) E ( IMD0040 OU DIM0116 ) ,
52972,DIM0601,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO III,60,30,90,,IMD0038 OU DIM0121 ,
52973,DIM0605,PROJETO E ANÁLISE DE ALGORITMOS,60,0,60,( DIM0406 ) ,( DIM0549 ) ,
52974,DIM0606,LINGUAGENS FORMAIS E AUTÔMATOS,60,0,60,( DIM0439 ) ,( DIM0601 ) OU ( DIM0323 ) OU ( DIM0422 ) OU ( MAT0227 ) OU ( DCA0100 ) OU ( DIM0450 ) ,
52975,DIM0610,LÓGICA COMPUTACIONAL,60,0,60,,DIM0601 ,
52990,DIM0611,COMPILADORES,60,30,90,( DIM0442 ) ,( DIM0437 E DIM0606 ) ,
52995,IMD0418,ATIVIDADES COMPLEMENTARES DE SISTEMAS DE INFORMAÇÃO DE GESTÃO,90,0,90,,,
52996,IMD0516,TÓPICOS ESPECIAIS EM INFORMÁTICA  EDUCACIONAL II,60,0,60,,,
53193,LET0508,HISTÓRIA E CULTURA AFRO-BRASILEIRA E INDÍGENA,60,40,100,,,
55019,IMD0017,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS I,30,0,30,( IMD0016 OU ECT1105 OU ECT2105 ) ,,
55020,IMD0018,PRÁTICAS DE LEITURA EM INGLÊS,30,0,30,( IMD0037 OU ECT1307 OU ECT2305 ) ,,
55021,IMD0027,PRÁTICAS DE LEITURA E ESCRITA EM PORTUGUÊS II,30,0,30,( IMD0026 OU ECT1205 OU ECT2205 ) ,( IMD0017 ) ,
55022,IMD0028,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO I,60,30,90,( IMD0013 OU DIM0400 OU DIM0115 ) ,( IMD0019 ) OU ( IMD1001 E IMD1002 E IMD1003 ) ,
