,id_curriculo_componente,id_curriculo,id_componente_curricular
66503,133798157,133797961,65101
66645,133798150,133797961,62886
67049,133798164,133797961,68477
67201,133797988,133797961,21787
67297,133798101,133797961,55051
67484,133798056,133797961,61097
67500,133798135,133797961,55056
68004,134107163,133797961,66424
68193,133798015,133797961,52813
68591,133799111,133797961,69614
68650,133797979,133797961,26921
68740,133799115,133797961,69618
68969,133798075,133797961,61116
69068,133799094,133797961,69596
69443,133798153,133797961,61130
69630,133799114,133797961,69617
69853,133798035,133797961,57807
70617,133798158,133797961,63934
70782,133798120,133797961,55074
71270,133798129,133797961,52698
71283,133798079,133797961,61120
71297,133798057,133797961,61098
71878,133798151,133797961,62887
72016,133798140,133797961,55084
72051,133798006,133797961,2054931
72202,133798156,133797961,63937
72990,133798097,133797961,55047
73120,133798076,133797961,61117
73220,133798082,133797961,52672
73527,133798144,133797961,63936
73748,133799085,133797961,69588
74046,133798137,133797961,55058
74077,133798128,133797961,52697
74143,139652270,133797961,72205
74250,139652269,133797961,72204
74949,133798019,133797961,52972
75315,133798045,133797961,65104
75467,151036499,133797961,72708
75564,133799093,133797961,69595
75657,133798152,133797961,62888
76031,133799082,133797961,69585
76138,139890030,133797961,72273
76378,133798080,133797961,61121
76740,133798168,133797961,23538
76851,133798143,133797961,68482
77167,134107161,133797961,64878
77222,133798041,133797961,59737
77586,133798090,133797961,55041
77727,133799103,133797961,69606
79221,133798142,133797961,68479
79656,133799109,133797961,69612
