,id_curriculo_componente,id_curriculo,id_componente_curricular
63757,133804521,133804382,55053
63897,133804556,133804382,61130
66234,133804387,133804382,64877
66492,133804446,133804382,59736
66512,133804501,133804382,55047
67034,139932268,133804382,70885
68088,133804402,133804382,26923
68736,133804459,133804382,61108
68785,139932269,133804382,69613
69220,133804544,133804382,55085
69394,133804447,133804382,59737
69530,151047035,133804382,69599
69815,133804498,133804382,55043
70198,133804469,133804382,61085
70248,151047857,133804382,69623
70274,133804510,133804382,52684
70639,133804504,133804382,55051
70708,151047854,133804382,69620
70932,133804520,133804382,55052
70967,133804485,133804382,61120
71365,133804396,133804382,26917
71563,151042966,133804382,72714
71629,133804394,133804382,26915
71792,133804536,133804382,52996
72241,133804398,133804382,26919
72276,133804541,133804382,55059
72310,133804492,133804382,55038
72807,133804529,133804382,52694
72988,133804496,133804382,55044
73182,151047856,133804382,69622
73651,133804433,133804382,55370
73723,133804470,133804382,61086
73816,133804399,133804382,26920
73921,133804489,133804382,52673
74044,133804460,133804382,61095
74589,151051342,133804382,69591
75187,151047038,133804382,69607
75412,133804560,133804382,65101
75674,133804487,133804382,61122
75735,133804386,133804382,59634
76150,133804507,133804382,52685
76256,133804545,133804382,68479
76481,133804397,133804382,26918
76654,133804522,133804382,55054
76974,139651573,133804382,72205
77467,133804570,133804382,23557
77907,133804416,133804382,2054922
78359,133804403,133804382,26924
78500,133804464,133804382,61099
78829,133804503,133804382,55050
79053,139850799,133804382,69615
79639,133804392,133804382,68447
79930,133804442,133804382,59732
79931,133804567,133804382,68477
